fips_place_tract,geoid,placename,stateabbr,risk_score_both_pc,risk_score_both_pc_residual
0107000-01073011210,01073011210,Birmingham,AL,31.799315300691482,-8.349902547091176
0107000-01073011803,01073011803,Birmingham,AL,36.42500710209261,-1.7666894148305659
0107000-01073011804,01073011804,Birmingham,AL,36.24119134507928,-2.8319551228452227
0107000-01073011904,01073011904,Birmingham,AL,48.8865608704129,3.6620843443763533
0107000-01073012001,01073012001,Birmingham,AL,57.874427823366446,7.1386036113306375
0107000-01073012302,01073012302,Birmingham,AL,34.98134861308995,-2.761018349074199
0107000-01073012305,01073012305,Birmingham,AL,41.17759956345452,-0.976015552058108
0107000-01073012401,01073012401,Birmingham,AL,40.119050668538755,-1.2286328505938258
0107000-01073012402,01073012402,Birmingham,AL,41.922195956423714,0.7495579603483407
0107000-01073012500,01073012500,Birmingham,AL,50.83310119156912,4.845225954126633
0107000-01073012602,01073012602,Birmingham,AL,48.79437024521015,3.760386771843507
0107000-01073012703,01073012703,Birmingham,AL,20.144836513660735,-11.570273241482983
0107000-01073012704,01073012704,Birmingham,AL,36.64922443010707,0.0917329297482894
0107000-01073012803,01073012803,Birmingham,AL,18.810521361233352,-5.251144114050867
0135896-01073012906,01073012906,Hoover,AL,22.980864962782814,-10.918570220967045
0135896-01073012907,01073012907,Hoover,AL,35.89306713265089,2.9198451174044564
0135896-01073012908,01073012908,Hoover,AL,31.019546614609343,2.009534751756725
0135896-01073012910,01073012910,Hoover,AL,36.8449436205663,5.32863258465909
0135896-01073012912,01073012912,Hoover,AL,23.316137979702123,-0.7070770154987329
0135896-01073012913,01073012913,Hoover,AL,28.114703501626686,-0.07891343606527457
0107000-01073013002,01073013002,Birmingham,AL,56.51946000706538,3.11661792820815
0107000-01073013100,01073013100,Birmingham,AL,52.106489930060576,2.506657541690359
0107000-01073013300,01073013300,Birmingham,AL,54.370546274031675,4.293204236356239
0107000-01073013901,01073013901,Birmingham,AL,47.62162785503386,1.4912946596694425
0135896-01073014203,01073014203,Hoover,AL,33.94687684486685,-0.36671820678359524
0135896-01073014204,01073014204,Hoover,AL,30.065818748735662,-2.305159021508185
0107000-01073014302,01073014302,Birmingham,AL,29.28893757566084,-2.7156110633569526
0135896-01073014404,01073014404,Hoover,AL,32.24010987345526,4.531991535594894
0135896-01073014405,01073014405,Hoover,AL,32.73036681043987,1.274889424780671
0135896-01073014406,01073014406,Hoover,AL,40.20024239159704,4.345309918671163
0135896-01073014408,01073014408,Hoover,AL,26.81144676030972,-1.9780164325801977
0135896-01073014409,01073014409,Hoover,AL,46.70897539406688,2.257813704990866
0135896-01073014410,01073014410,Hoover,AL,31.80135653812885,-0.4651474435624081
0135896-01073014412,01073014412,Hoover,AL,36.81647435467356,1.3983462096278245
0107000-01073014413,01073014413,Birmingham,AL,34.41974199721783,4.671315762719981
0137000-01083020802,01083020802,Huntsville,AL,25.912348087256742,-14.400896156137275
0137000-01083021200,01083021200,Huntsville,AL,29.983437457142514,-2.9117180752381913
0137000-01089000201,01089000201,Huntsville,AL,46.07055545449701,-0.14457303043383973
0137000-01089000202,01089000202,Huntsville,AL,23.97418363823877,-8.952302459030022
0137000-01089000301,01089000301,Huntsville,AL,46.63973629331705,3.8757946065786726
0137000-01089000302,01089000302,Huntsville,AL,47.58844747267306,3.1939514370030935
0137000-01089000403,01089000403,Huntsville,AL,44.88737139136577,1.3406888096646128
0137000-01089000501,01089000501,Huntsville,AL,44.64323207316184,0.3226990313404201
0137000-01089000502,01089000502,Huntsville,AL,44.89412020723938,4.564386069218308
0137000-01089000503,01089000503,Huntsville,AL,42.417268517464976,1.615469408950183
0137000-01089000601,01089000601,Huntsville,AL,44.91059563720941,1.5067137965639432
0137000-01089000602,01089000602,Huntsville,AL,49.43561532370623,5.73698687738424
0137000-01089000701,01089000701,Huntsville,AL,47.4408294324806,1.5246090140342332
0137000-01089000702,01089000702,Huntsville,AL,56.3407569497978,4.582363400796851
0137000-01089000901,01089000901,Huntsville,AL,49.00142267579437,5.782852657811652
0137000-01089000902,01089000902,Huntsville,AL,35.74627611892428,-0.6371759465665363
0137000-01089001000,01089001000,Huntsville,AL,35.77658290182141,0.10440859504841171
0137000-01089001200,01089001200,Huntsville,AL,48.294098539710085,0.2421033021921204
0137000-01089001301,01089001301,Huntsville,AL,29.680273445150252,-1.1250896195169489
0137000-01089001302,01089001302,Huntsville,AL,41.82195222662681,2.904562137769993
0137000-01089001401,01089001401,Huntsville,AL,29.37823770657125,-1.2655883751765984
0137000-01089001402,01089001402,Huntsville,AL,31.820321239968884,-2.654136262359529
0137000-01089001500,01089001500,Huntsville,AL,31.924766996964888,-5.896948698104101
0137000-01089001700,01089001700,Huntsville,AL,41.7174925094475,0.8458039081939503
0137000-01089001801,01089001801,Huntsville,AL,43.865245529239,3.575921041437468
0137000-01089001901,01089001901,Huntsville,AL,45.14240609495684,2.4756933084947192
0137000-01089001902,01089001902,Huntsville,AL,54.954975664651926,4.623786160241664
0137000-01089001903,01089001903,Huntsville,AL,43.72695661591793,1.718138100133359
0137000-01089002000,01089002000,Huntsville,AL,37.038079601213546,2.3286624062714267
0137000-01089002100,01089002100,Huntsville,AL,42.77966323292508,1.038706276440415
0137000-01089002200,01089002200,Huntsville,AL,45.17681739800896,5.273824803056449
0137000-01089002300,01089002300,Huntsville,AL,42.68350710592854,2.370638864761169
0137000-01089002400,01089002400,Huntsville,AL,39.361706449738726,-0.9820448705172069
0137000-01089002501,01089002501,Huntsville,AL,32.76449305859728,-1.0211483686740976
0137000-01089002502,01089002502,Huntsville,AL,29.392058921582002,-1.1694678430970562
0137000-01089002600,01089002600,Huntsville,AL,49.73844049878331,8.02162812164135
0137000-01089002701,01089002701,Huntsville,AL,46.211031805254564,8.87786545900697
0137000-01089002721,01089002721,Huntsville,AL,48.294191851627325,6.30277996708967
0137000-01089002722,01089002722,Huntsville,AL,44.089833579168335,1.9920827558859955
0137000-01089002801,01089002801,Huntsville,AL,45.69421284110881,2.8270246355144124
0137000-01089002802,01089002802,Huntsville,AL,36.73663836006524,-1.5769732723020553
0137000-01089002911,01089002911,Huntsville,AL,43.519103273631025,2.4233403814532863
0137000-01089002912,01089002912,Huntsville,AL,43.7476652575991,3.1322574270179544
0137000-01089002921,01089002921,Huntsville,AL,39.88883612695731,-0.472647288591439
0137000-01089002922,01089002922,Huntsville,AL,40.222495328232874,0.8853462198781585
0137000-01089003000,01089003000,Huntsville,AL,54.22896402224494,13.20620426190331
0137000-01089003100,01089003100,Huntsville,AL,43.7158368579951,-3.02870819855395
0137000-01089010502,01089010502,Huntsville,AL,49.82762533510318,4.905111288753538
0137000-01089010612,01089010612,Huntsville,AL,29.62727628448441,-8.341147636892522
0137000-01089010622,01089010622,Huntsville,AL,25.139921648954257,-8.657835935052411
0137000-01089010623,01089010623,Huntsville,AL,28.842981541739704,-2.8114294251437606
0137000-01089010624,01089010624,Huntsville,AL,30.92678905101923,-5.157298679606722
0137000-01089010702,01089010702,Huntsville,AL,35.18749382487301,-1.3996614548558242
0137000-01089010800,01089010800,Huntsville,AL,38.79170671220956,2.355380800984534
0137000-01089010901,01089010901,Huntsville,AL,33.29826380724936,-5.368296592795787
0137000-01089011022,01089011022,Huntsville,AL,22.092615786494893,-7.481959157115078
0137000-01089011200,01089011200,Huntsville,AL,26.020104747849864,-0.3155494197608988
0137000-01089011300,01089011300,Huntsville,AL,44.627840923894254,1.3969217367101336
0150000-01097000200,01097000200,Mobile,AL,53.609381776882394,5.3292244494132035
0150000-01097000401,01097000401,Mobile,AL,51.097149849278566,0.5535323973103061
0150000-01097000402,01097000402,Mobile,AL,67.860049011161,NA
0150000-01097000500,01097000500,Mobile,AL,55.305625747104806,0.5948341694664876
0150000-01097000600,01097000600,Mobile,AL,54.78167209020855,1.1890144201322386
0150000-01097000701,01097000701,Mobile,AL,57.856403358948114,4.8143098030303975
0150000-01097000702,01097000702,Mobile,AL,58.58221301704878,2.2561448099817696
0150000-01097000800,01097000800,Mobile,AL,52.522822643484936,2.3566495039760156
0150000-01097000901,01097000901,Mobile,AL,34.5711030239079,-0.15777906923776897
0150000-01097000902,01097000902,Mobile,AL,37.07790988036021,0.921699500421326
0150000-01097000903,01097000903,Mobile,AL,42.68570933003979,-0.3585174960620563
0150000-01097001001,01097001001,Mobile,AL,37.31154918274442,0.18271309347137077
0150000-01097001002,01097001002,Mobile,AL,40.81434312425395,1.705196611177314
0150000-01097001100,01097001100,Mobile,AL,57.921283062482445,1.4566773417227665
0150000-01097001200,01097001200,Mobile,AL,38.843928433262995,-13.659353887747379
0150000-01097001302,01097001302,Mobile,AL,47.41826131621946,-2.6228004047525815
0150000-01097001400,01097001400,Mobile,AL,51.070729694365,0.25320132385565586
0150000-01097001501,01097001501,Mobile,AL,49.02578404708638,-0.42088631581391667
0150000-01097001502,01097001502,Mobile,AL,45.28609897690325,-2.2435590276272706
0150000-01097001800,01097001800,Mobile,AL,46.043231352217354,3.300082419171609
0150000-01097001901,01097001901,Mobile,AL,47.15655483588538,1.9211039778942762
0150000-01097001902,01097001902,Mobile,AL,44.478668027291945,1.5575207469103702
0150000-01097002000,01097002000,Mobile,AL,44.0762119728417,3.080621525852429
0150000-01097002100,01097002100,Mobile,AL,40.747942582760146,-7.273368735881576
0150000-01097002200,01097002200,Mobile,AL,47.53780129237335,1.9557392653101857
0150000-01097002301,01097002301,Mobile,AL,43.04897763892471,-4.728303994417857
0150000-01097002302,01097002302,Mobile,AL,53.86684264666102,0.6986748008374661
0150000-01097002400,01097002400,Mobile,AL,45.39586779508525,-0.127499698806119
0150000-01097002501,01097002501,Mobile,AL,31.346994147405926,0.4450222281310232
0150000-01097002502,01097002502,Mobile,AL,39.478004007866,0.4286743300092013
0150000-01097002600,01097002600,Mobile,AL,55.95751412181526,7.456597027176059
0150000-01097002700,01097002700,Mobile,AL,48.40400112959478,0.6000182336156072
0150000-01097002800,01097002800,Mobile,AL,41.18216317131888,2.3682188940276347
0150000-01097002900,01097002900,Mobile,AL,38.18879014479819,2.3785936307215465
0150000-01097003000,01097003000,Mobile,AL,42.83609820202345,0.4886977476287555
0150000-01097003100,01097003100,Mobile,AL,48.51546945923393,3.1533283171813693
0150000-01097003202,01097003202,Mobile,AL,44.32324777313597,0.8127889094530687
0150000-01097003203,01097003203,Mobile,AL,38.21984020269881,-0.9340122454345092
0150000-01097003204,01097003204,Mobile,AL,24.802689483994627,NA
0150000-01097003205,01097003205,Mobile,AL,33.85896874612707,-1.4642587167969268
0150000-01097003301,01097003301,Mobile,AL,38.7761597814836,2.3465469706033772
0150000-01097003302,01097003302,Mobile,AL,35.24884359497701,-5.220604289120722
0150000-01097003402,01097003402,Mobile,AL,39.176777110057536,-2.2729864985130703
0150000-01097003404,01097003404,Mobile,AL,41.2130023960231,-0.8038638158848883
0150000-01097003405,01097003405,Mobile,AL,47.52968356176192,1.4269461596586552
0150000-01097003406,01097003406,Mobile,AL,38.70349578241075,-1.2656035401403116
0150000-01097003407,01097003407,Mobile,AL,40.005672757736015,-2.379175463809652
0150000-01097003408,01097003408,Mobile,AL,44.2158005627039,0.5567285500689891
0150000-01097003501,01097003501,Mobile,AL,37.929454543500505,-1.0166246453068126
0150000-01097003502,01097003502,Mobile,AL,43.690274432593476,3.738560910742308
0150000-01097003602,01097003602,Mobile,AL,35.80863989041636,-4.529059535731093
0150000-01097003605,01097003605,Mobile,AL,3.4589929328627393,NA
0150000-01097003606,01097003606,Mobile,AL,36.1994358750732,-0.9912648803835324
0150000-01097003607,01097003607,Mobile,AL,36.061601589610795,-0.6597019146080854
0150000-01097003608,01097003608,Mobile,AL,39.025977614286,-0.29474266155933293
0150000-01097003703,01097003703,Mobile,AL,39.12700253335442,-0.06656520490516016
0150000-01097003704,01097003704,Mobile,AL,38.01827333919021,-1.918640774973447
0150000-01097003705,01097003705,Mobile,AL,37.57208335191816,3.112275100472438
0150000-01097003706,01097003706,Mobile,AL,40.15333980429784,-1.6180222670953057
0150000-01097003707,01097003707,Mobile,AL,41.90544978460971,4.369535144821228
0150000-01097003708,01097003708,Mobile,AL,37.73639298575412,-3.6035371639584994
0150000-01097003709,01097003709,Mobile,AL,39.59781308667928,7.292843677500777
0150000-01097003710,01097003710,Mobile,AL,47.84986374760247,4.113331817328813
0150000-01097003800,01097003800,Mobile,AL,50.70231307443177,2.4744897579392244
0150000-01097003901,01097003901,Mobile,AL,55.58816341868439,0.9955782865849656
0150000-01097003902,01097003902,Mobile,AL,56.66414616359003,4.617359543423838
0150000-01097006402,01097006402,Mobile,AL,45.048028643210216,2.1382641062373793
0150000-01097006403,01097006403,Mobile,AL,38.25700539506481,2.810988837454822
0150000-01097006404,01097006404,Mobile,AL,32.063020003948075,-2.654739941502001
0150000-01097006405,01097006405,Mobile,AL,28.122304377874734,-4.9832398397227
0150000-01097006801,01097006801,Mobile,AL,38.72669031801915,-0.5897342817122038
0150000-01097006802,01097006802,Mobile,AL,40.90968679834198,0.06366501960562232
0150000-01097007000,01097007000,Mobile,AL,44.819428082763366,3.845421152987143
0150000-01097007102,01097007102,Mobile,AL,48.07951639584762,3.6183092092608717
0150000-01097007400,01097007400,Mobile,AL,43.06495241100335,4.183153048961145
0151000-01101000100,01101000100,Montgomery,AL,35.76540972274419,-12.51047017563873
0151000-01101000200,01101000200,Montgomery,AL,52.41325994794762,2.1962881033847523
0151000-01101000300,01101000300,Montgomery,AL,47.86559671628832,0.2549390191382912
0151000-01101000400,01101000400,Montgomery,AL,47.610732884064724,-0.14559973650356284
0151000-01101000500,01101000500,Montgomery,AL,33.06875822539164,-1.0894342495166498
0151000-01101000600,01101000600,Montgomery,AL,61.33093526605802,13.716861434647846
0151000-01101000700,01101000700,Montgomery,AL,50.04538347018994,2.4418532461278986
0151000-01101000900,01101000900,Montgomery,AL,17.016521008332806,NA
0151000-01101001000,01101001000,Montgomery,AL,48.731509421577115,-0.2577838962378536
0151000-01101001100,01101001100,Montgomery,AL,60.60830117987807,10.6289136574919
0151000-01101001200,01101001200,Montgomery,AL,57.38657182112438,5.75276871789206
0151000-01101001300,01101001300,Montgomery,AL,43.95656595207641,5.1020471749441185
0151000-01101001400,01101001400,Montgomery,AL,33.073525419936225,-2.567858321532448
0151000-01101001500,01101001500,Montgomery,AL,28.15068638366226,-19.077227404143983
0151000-01101001600,01101001600,Montgomery,AL,43.28295966111356,1.910995617442488
0151000-01101001700,01101001700,Montgomery,AL,43.65804850453462,1.3718982715654207
0151000-01101001800,01101001800,Montgomery,AL,44.4163949542714,0.7895851958522329
0151000-01101001900,01101001900,Montgomery,AL,47.27170991734164,6.585528104834786
0151000-01101002000,01101002000,Montgomery,AL,43.480905282675394,5.461404783897699
0151000-01101002100,01101002100,Montgomery,AL,41.24232763499167,-0.6365282242316113
0151000-01101002201,01101002201,Montgomery,AL,51.17801080848221,1.7873140639526
0151000-01101002202,01101002202,Montgomery,AL,51.23988190267001,3.2819455633151264
0151000-01101002300,01101002300,Montgomery,AL,55.438653965943864,0.9560883780588085
0151000-01101002400,01101002400,Montgomery,AL,50.738238954728246,1.429276630742308
0151000-01101002500,01101002500,Montgomery,AL,39.47798486920846,-2.1331182780324482
0151000-01101002600,01101002600,Montgomery,AL,45.29145321472684,2.51492115303342
0151000-01101002700,01101002700,Montgomery,AL,43.32871003541056,4.709137550917987
0151000-01101002800,01101002800,Montgomery,AL,40.346989320209595,4.276366783562949
0151000-01101002900,01101002900,Montgomery,AL,38.89219072326911,-5.421467373652632
0151000-01101003000,01101003000,Montgomery,AL,44.31397243114427,-1.0938075846884487
0151000-01101003100,01101003100,Montgomery,AL,40.827183371570875,-2.36014520984601
0151000-01101003200,01101003200,Montgomery,AL,41.30234684092492,0.6228337968617836
0151000-01101003301,01101003301,Montgomery,AL,43.01183906045874,0.8315673824501815
0151000-01101003302,01101003302,Montgomery,AL,38.085349947891046,2.9628512641043514
0151000-01101005101,01101005101,Montgomery,AL,30.936143385891736,-9.643567161611553
0151000-01101005102,01101005102,Montgomery,AL,48.15423356819252,0.30689469355890253
0151000-01101005301,01101005301,Montgomery,AL,14.975399462525612,NA
0151000-01101005302,01101005302,Montgomery,AL,40.06882620882744,0.16519651054737494
0151000-01101005402,01101005402,Montgomery,AL,36.352122236912386,-0.8099504962549986
0151000-01101005403,01101005403,Montgomery,AL,30.71874804877581,-0.8915583331460972
0151000-01101005406,01101005406,Montgomery,AL,41.943963506087286,0.9417908576985141
0151000-01101005407,01101005407,Montgomery,AL,34.15673641238993,-7.924862295767724
0151000-01101005408,01101005408,Montgomery,AL,39.62096616119265,1.565985630099199
0151000-01101005409,01101005409,Montgomery,AL,33.60900650596191,-3.5751556702305436
0151000-01101005410,01101005410,Montgomery,AL,29.967186000461552,0.8228826878674766
0151000-01101005501,01101005501,Montgomery,AL,35.09529056414098,-2.3940704790851868
0151000-01101005503,01101005503,Montgomery,AL,27.155211741686852,-4.622476992925005
0151000-01101005603,01101005603,Montgomery,AL,33.97482527997657,-2.3477573656939796
0151000-01101005605,01101005605,Montgomery,AL,33.67125708206948,0.752032978856974
0151000-01101005606,01101005606,Montgomery,AL,31.154121752614422,-6.016919271076773
0151000-01101005607,01101005607,Montgomery,AL,28.398301400699804,-1.096831096400063
0151000-01101005608,01101005608,Montgomery,AL,39.06559530308601,0.7812099375961594
0151000-01101005609,01101005609,Montgomery,AL,24.50347886906776,-4.928678567463997
0151000-01101005610,01101005610,Montgomery,AL,33.20331320004331,-2.1405975783462594
0151000-01101005611,01101005611,Montgomery,AL,31.502293665818478,2.0690651670373086
0151000-01101005612,01101005612,Montgomery,AL,26.394077863330896,-1.176076664149619
0151000-01101005901,01101005901,Montgomery,AL,47.65827756986865,5.083688208097051
0151000-01101005902,01101005902,Montgomery,AL,51.7836774578186,1.2088644205809018
0151000-01101006000,01101006000,Montgomery,AL,44.15583963905802,2.09347329215214
0151000-01101006100,01101006100,Montgomery,AL,53.62470411905,1.9893484289113204
0135896-01117030212,01117030212,Hoover,AL,17.351340561170378,-2.7715805218265857
0107000-01117030213,01117030213,Birmingham,AL,29.508536953823654,-3.5217497753130793
0135896-01117030216,01117030216,Hoover,AL,39.89582624954816,1.4272983863140851
0135896-01117030217,01117030217,Hoover,AL,43.90552578211056,0.5712980087817314
0107000-01117030303,01117030303,Birmingham,AL,42.28229118291395,2.3946591544429623
0135896-01117030304,01117030304,Hoover,AL,41.36540927719583,9.42215317080592
0135896-01117030305,01117030305,Hoover,AL,39.59763338070084,1.8907235343315634
0135896-01117030314,01117030314,Hoover,AL,30.848757639801544,1.7479198768271864
0135896-01117030330,01117030330,Hoover,AL,49.66905500442913,16.122739374870726
0135896-01117030333,01117030333,Hoover,AL,41.85276371110784,2.52380929261399
0135896-01117030334,01117030334,Hoover,AL,31.56405431502719,-1.2258520252216307
0135896-01117030344,01117030344,Hoover,AL,43.448022718566875,12.302112388353677
0177256-01125010101,01125010101,Tuscaloosa,AL,36.12284302702716,-1.2961697556090996
0177256-01125010102,01125010102,Tuscaloosa,AL,31.461492522848367,-9.040907189393081
0177256-01125010203,01125010203,Tuscaloosa,AL,30.6128086279776,-8.87110382657584
0177256-01125010405,01125010405,Tuscaloosa,AL,36.14836636084372,1.4083057046973337
0177256-01125010406,01125010406,Tuscaloosa,AL,42.866575796823206,2.147067037762305
0177256-01125010407,01125010407,Tuscaloosa,AL,39.439692579277676,2.011735588179839
0177256-01125010500,01125010500,Tuscaloosa,AL,37.02861222466627,-3.0703884218925097
0177256-01125010601,01125010601,Tuscaloosa,AL,43.40266718537145,2.0985608361100745
0177256-01125010702,01125010702,Tuscaloosa,AL,37.18509166845453,-1.812055758436479
0177256-01125010802,01125010802,Tuscaloosa,AL,39.32983350019766,0.2996459394860196
0177256-01125010803,01125010803,Tuscaloosa,AL,36.62154943591325,-0.740588434854331
0177256-01125010804,01125010804,Tuscaloosa,AL,43.39552786928038,5.530650303059481
0177256-01125011200,01125011200,Tuscaloosa,AL,9.744709198013378,-19.836365093479877
0177256-01125011401,01125011401,Tuscaloosa,AL,12.921176734467613,-22.98457181453798
0177256-01125011402,01125011402,Tuscaloosa,AL,17.319196250784515,-18.531444248746133
0177256-01125011600,01125011600,Tuscaloosa,AL,42.5024802256452,-4.154813397769736
0177256-01125011701,01125011701,Tuscaloosa,AL,39.285561697870996,-10.48707170404981
0177256-01125011703,01125011703,Tuscaloosa,AL,52.38443209356648,1.7828174148327207
0177256-01125011800,01125011800,Tuscaloosa,AL,54.42503655276031,4.685622687394968
0177256-01125011901,01125011901,Tuscaloosa,AL,26.86764605811226,-6.8864888608626025
0177256-01125011902,01125011902,Tuscaloosa,AL,49.958361121649915,2.176014799883845
0177256-01125012000,01125012000,Tuscaloosa,AL,25.000486737912308,-7.411051296819895
0177256-01125012100,01125012100,Tuscaloosa,AL,35.03695339119537,1.4796980595368012
0177256-01125012303,01125012303,Tuscaloosa,AL,38.213359474784234,-0.29473684698487546
0177256-01125012304,01125012304,Tuscaloosa,AL,33.67178793616158,-7.773924097113806
0177256-01125012305,01125012305,Tuscaloosa,AL,33.142985932475085,-1.000962280075548
0177256-01125012403,01125012403,Tuscaloosa,AL,26.71967131129856,-3.3349862439242095
0177256-01125012404,01125012404,Tuscaloosa,AL,41.764072967619036,-0.5650257862053607
0177256-01125012405,01125012405,Tuscaloosa,AL,30.676004258958915,-2.657668467154661
0177256-01125012501,01125012501,Tuscaloosa,AL,47.68116544793422,3.622698835963149
0177256-01125012502,01125012502,Tuscaloosa,AL,30.871598726888365,-0.3309463538687183
0177256-01125012600,01125012600,Tuscaloosa,AL,24.206810533521615,-4.667029535055427
0177256-01125012700,01125012700,Tuscaloosa,AL,35.639526582498554,-0.2686495257108348
0177256-01125012800,01125012800,Tuscaloosa,AL,37.548892897603665,-9.279603762073478
0203000-02020000101,02020000101,Anchorage,AK,28.19912527114525,-1.6937220557389523
0203000-02020000102,02020000102,Anchorage,AK,30.084321277028163,0.8034907717453983
0203000-02020000201,02020000201,Anchorage,AK,22.229515114217172,-1.0843021195583802
0203000-02020000202,02020000202,Anchorage,AK,28.79947148180038,-0.6901728859561231
0203000-02020000203,02020000203,Anchorage,AK,25.227806556684346,-3.5823123580295793
